id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
319,Fulton Landing Seafood Co.,27,0,412.576104723534,2,3.9,0,15,58
320,Fulton Landing Seafood Co.,27,0,412.576104723534,2,3.9,0,15,58
321,Jianbing Company,19,0,412.61096790771677,2,4.1,0,15,58
322,Jianbing Company,19,0,412.61096790771677,2,4.1,0,15,58
323,Forcella Fried Pizza,41,0,412.61096790771677,2,4.5,0,15,58
324,Forcella Fried Pizza,41,0,412.61096790771677,2,4.5,0,15,58
325,Home Frite,9,0,413.1627833374908,2,3.6,0,5,58
326,Home Frite,9,0,413.1627833374908,2,3.6,0,5,58
327,Fortina,240,0,419.22183960168854,2,4.1,0,10,58
328,Fortina,240,0,419.22183960168854,2,4.1,0,45,58
329,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,58
330,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,58
331,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,58
332,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,58
333,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,10,58
334,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,45,58
335,Asian City,333,0,234.0619968319014,2,2.3,0,15,58
336,Asian City,333,0,234.0619968319014,2,2.3,0,15,58
337,honeygrow,301,0,475.4195427825694,2,4.3,0,20,64
338,honeygrow,301,0,475.4195427825694,2,4.3,0,45,64
339,Dining Room,153,0,205.12610388134019,1,4.0,0,20,15
340,Dining Room,153,0,205.12610388134019,1,4.0,0,90,15
341,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,41
342,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,41
343,Bella,37,0,479.77360737611764,1,3.0,0,15,58
344,Bella,37,0,479.77360737611764,1,3.0,0,15,58
345,Lee's Villa,75,0,246.81130493614864,1,4.1,0,20,58
346,Lee's Villa,75,0,246.81130493614864,1,4.1,0,60,58
347,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,42
348,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,42
349,Blimpie,390,0,262.77911398256026,1,4.0,0,20,58
350,Blimpie,390,0,262.77911398256026,1,4.0,0,20,58
351,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,58
352,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,58
353,Juice Press,333,0,498.4364418666816,2,3.7,0,15,58
354,Juice Press,333,0,498.4364418666816,2,3.7,0,15,58
355,Metro Star,100,0,157.89638141002249,1,4.1,0,15,47
356,Metro Star,100,0,157.89638141002249,1,4.1,0,15,47
357,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,27
358,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,27
359,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,58
360,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,58
361,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,39
362,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,39
363,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,13
